Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1822.5703125
FDW14,OUT017,1535.69921875
NCN55,OUT010,1862.0859375
FDQ58,OUT017,2601.84375
FDY38,OUT027,5190.41015625
FDH56,OUT046,1939.90625
FDL48,OUT018,583.61328125
FDC48,OUT027,2862.50390625
FDN33,OUT045,1515.01953125
FDA36,OUT017,3127.57421875
FDT44,OUT017,2007.19140625
FDQ56,OUT045,1350.04296875
NCC54,OUT019,1851.7734375
FDU11,OUT049,2095.19140625
DRL59,OUT013,977.26953125
FDM24,OUT049,2576.078125
FDI57,OUT045,3322.80078125
DRC12,OUT018,2741.37890625
NCM42,OUT027,3255.04296875
FDA46,OUT010,1107.71875
FDA31,OUT013,2856.375
NCJ31,OUT035,3854.8984375
FDG52,OUT046,784.640625
NCL19,OUT019,352.90625
FDS10,OUT035,2984.48828125
FDX22,OUT010,1430.75390625
NCF19,OUT035,884.1953125
NCE06,OUT046,2537.92578125
DRC27,OUT046,3926.56640625
FDE21,OUT035,2028.05078125
NCR42,OUT019,-1386.765625
FDX51,OUT018,2910.90234375
NCR06,OUT018,413.23046875
FDU31,OUT027,5026.328125
FDU59,OUT017,2760.31640625
FDR03,OUT027,4838.921875
FDS49,OUT027,2828.33203125
FDD48,OUT010,-80.54296875
NCF18,OUT017,3092.8046875
NCD43,OUT027,3153.02734375
NCD54,OUT018,1961.1796875
FDY19,OUT010,-62.76953125
NCY54,OUT017,2809.30859375
NCL19,OUT018,2029.05859375
FDP23,OUT010,1548.78515625
FDC26,OUT013,1853.8125
FDR14,OUT010,-1091.88671875
NCS41,OUT035,3022.56640625
FDF41,OUT035,4019.05078125
FDU34,OUT046,1980.87890625
DRH11,OUT046,1016.1171875
FDM03,OUT013,1791.9765625
FDS31,OUT017,3042.8515625
FDJ20,OUT017,2087.375
FDV44,OUT027,4575.296875
FDG02,OUT049,3136.5078125
FDA09,OUT013,2906.23828125
FDT04,OUT013,665.03515625
FDL58,OUT019,2288.6796875
FDE52,OUT045,1411.5546875
FDW12,OUT035,2504.90234375
FDL51,OUT017,3494.01953125
NCY42,OUT027,3752.63671875
FDR07,OUT017,1662.55078125
FDN40,OUT045,2378.59765625
FDB35,OUT027,3005.83203125
FDA22,OUT017,2760.9609375
NCL06,OUT046,4102.69921875
FDI35,OUT013,2943.3046875
NCW42,OUT045,3397.8828125
NCX06,OUT049,2919.53125
FDC37,OUT027,3264.46875
FDZ14,OUT018,1698.7890625
DRG49,OUT049,3956.73046875
NCG06,OUT045,3953.828125
DRC36,OUT045,2510.25
FDV21,OUT019,50.33984375
FDB53,OUT046,2337.25390625
DRP47,OUT019,2107.70703125
FDA14,OUT013,2322.69140625
DRC24,OUT035,2527.5703125
FDW21,OUT018,1409.234375
NCH29,OUT046,1583.0546875
FDU58,OUT013,3100.421875
FDY27,OUT017,2921.31640625
FDV56,OUT035,1935.85546875
FDT59,OUT046,3691.328125
FDB23,OUT046,3612.05859375
FDR49,OUT045,714.11328125
FDB03,OUT010,1840.796875
FDN39,OUT045,2633.5546875
FDX02,OUT027,4999.38671875
FDQ16,OUT027,3217.44921875
FDU35,OUT018,1367.26953125
NCT29,OUT013,1992.6875
FDZ27,OUT046,793.109375
FDN57,OUT017,2333.49609375
FDA03,OUT018,2034.5625
FDZ36,OUT045,2956.125
NCU05,OUT013,1356.67578125
FDT39,OUT018,2238.48046875
FDK60,OUT017,1707.27734375
FDZ25,OUT017,2848.48828125
FDG12,OUT046,2039.78125
DRB01,OUT019,1106.07421875
NCC43,OUT027,5432.9375
FDX13,OUT019,2049.421875
FDM22,OUT049,1004.515625
FDJ03,OUT027,2312.9296875
FDU14,OUT018,3634.9375
FDB33,OUT010,611.81640625
FDP27,OUT046,3061.12890625
FDO38,OUT010,-698.24609375
FDE28,OUT027,5185.4375
FDO27,OUT035,1714.19921875
DRL23,OUT027,3289.81640625
FDS28,OUT046,952.0390625
FDX24,OUT013,1589.328125
FDZ02,OUT035,1698.01953125
FDL46,OUT045,1795.24609375
FDS60,OUT027,4353.5234375
NCO06,OUT017,601.90234375
FDO16,OUT035,1519.2421875
FDC60,OUT049,1561.6171875
FDA48,OUT018,3220.0390625
FDZ36,OUT027,4531.3671875
FDK27,OUT045,1936.45703125
FDW23,OUT018,410.59765625
FDM14,OUT018,1519.78125
FDM14,OUT013,1816.421875
