Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1588.7567521371484
FDW14,OUT017,1473.4274312450466
NCN55,OUT010,562.4648077552432
FDQ58,OUT017,2386.689692374568
FDY38,OUT027,5764.333675226559
FDH56,OUT046,1960.357897952666
FDL48,OUT018,751.4422015720604
FDC48,OUT027,1826.7724077112136
FDN33,OUT045,1565.6733748366005
FDA36,OUT017,3065.3952664982917
FDT44,OUT017,1986.052517982162
FDQ56,OUT045,1452.7916684308182
NCC54,OUT019,563.3921545990461
FDU11,OUT049,2104.4001143439914
DRL59,OUT013,819.8228257223553
FDM24,OUT049,2375.7544982465292
FDI57,OUT045,3087.0426977040897
DRC12,OUT018,3061.8580577608955
NCM42,OUT027,3022.20392824556
FDA46,OUT010,507.8161530398343
FDA31,OUT013,2891.272749720443
NCJ31,OUT035,3869.412921197153
FDG52,OUT046,769.090781910885
NCL19,OUT019,297.42644800598623
FDS10,OUT035,2969.4369114376445
FDX22,OUT010,562.4648077552432
NCF19,OUT035,769.090781910885
NCE06,OUT046,2590.4408236756085
DRC27,OUT046,3880.797614124478
FDE21,OUT035,1956.9667614225646
NCR42,OUT019,192.42586327293589
FDX51,OUT018,3066.2802524119165
NCR06,OUT018,693.5362692670045
FDU31,OUT027,5764.333675226559
FDU59,OUT017,2647.941816078029
FDR03,OUT027,5764.333675226559
FDS49,OUT027,1784.7049833317608
FDD48,OUT010,276.37568828630293
NCF18,OUT017,3061.8580577608955
NCD43,OUT027,3003.195514969206
NCD54,OUT018,2228.2098601191233
FDY19,OUT010,278.9109409398712
NCY54,OUT017,2886.658570788672
NCL19,OUT018,2352.2720117292133
FDP23,OUT010,562.4648077552432
FDC26,OUT013,1721.1475409563998
FDR14,OUT010,238.89231696427512
NCS41,OUT035,3059.349034530024
FDF41,OUT035,3905.4935538852383
FDU34,OUT046,2109.1602614175536
DRH11,OUT046,962.402278111419
FDM03,OUT013,1586.0939860251838
FDS31,OUT017,2983.202532013198
FDJ20,OUT017,2104.4001143439914
FDV44,OUT027,5347.579471553641
FDG02,OUT049,3066.2802524119165
FDA09,OUT013,2962.766193479225
FDT04,OUT013,648.9599074700894
FDL58,OUT019,563.3921545990461
FDE52,OUT045,1511.5153074054315
FDW12,OUT035,2352.2720117292133
FDL51,OUT017,3582.1899269022524
NCY42,OUT027,3081.818709492241
FDR07,OUT017,1564.432973311874
FDN40,OUT045,2378.836695863085
FDB35,OUT027,2680.1972861121017
FDA22,OUT017,2647.941816078029
NCL06,OUT046,4054.9823852020077
FDI35,OUT013,2985.7647308124165
NCW42,OUT045,3804.8203079048953
NCX06,OUT049,2966.8595915970536
FDC37,OUT027,3012.4811514002913
FDZ14,OUT018,2105.7136664591862
DRG49,OUT049,3883.583535299948
NCG06,OUT045,4040.3060894169694
DRC36,OUT045,2886.658570788672
FDV21,OUT019,286.6571308741684
FDB53,OUT046,2355.992228787217
DRP47,OUT019,563.3921545990461
FDA14,OUT013,2357.9861772940835
DRC24,OUT035,2378.836695863085
FDW21,OUT018,1587.3903250618414
NCH29,OUT046,1562.5426858584053
FDU58,OUT013,3068.248252099866
FDY27,OUT017,2895.3952906704258
FDV56,OUT035,1591.5057796855494
FDT59,OUT046,3825.182023606585
FDB23,OUT046,3789.695659218329
FDR49,OUT045,766.4966171990868
FDB03,OUT010,562.4648077552432
FDN39,OUT045,2641.5516217390586
FDX02,OUT027,5764.333675226559
FDQ16,OUT027,3012.4811514002913
FDU35,OUT018,1581.8948033328516
NCT29,OUT013,2104.4001143439914
FDZ27,OUT046,769.090781910885
FDN57,OUT017,2121.0850228190825
FDA03,OUT018,2357.9861772940835
FDZ36,OUT045,3065.3952664982917
NCU05,OUT013,1400.5898795532494
FDT39,OUT018,2372.4433001959796
FDK60,OUT017,1564.432973311874
FDZ25,OUT017,2811.0901437763164
FDG12,OUT046,2104.4001143439914
DRB01,OUT019,505.28112845244743
NCC43,OUT027,5764.333675226559
FDX13,OUT019,563.3921545990461
FDM22,OUT049,871.1195105481938
FDJ03,OUT027,767.6366853478081
FDU14,OUT018,3921.7540335216845
FDB33,OUT010,397.98870422796506
FDP27,OUT046,3066.2802524119165
FDO38,OUT010,186.78342334792325
FDE28,OUT027,5764.333675226559
FDO27,OUT035,1563.3892920421997
DRL23,OUT027,3003.195514969206
FDS28,OUT046,960.8168680414964
FDX24,OUT013,1550.122128922563
FDZ02,OUT035,1565.6733748366005
FDL46,OUT045,1960.357897952666
FDS60,OUT027,4768.293718500627
NCO06,OUT017,641.7322734146694
FDO16,OUT035,1435.4670632049622
FDC60,OUT049,1471.7250296468812
FDA48,OUT018,3642.300058975421
FDZ36,OUT027,5264.54201851016
FDK27,OUT045,2101.7192013137815
FDW23,OUT018,644.2953184394339
FDM14,OUT018,1688.055284985463
FDM14,OUT013,1588.7567521371484
FDW60,OUT018,2895.3952906704258
FDE21,OUT013,1956.9667614225646
NCM42,OUT035,1591.5057796855494
FDY59,OUT010,241.71961555597716
DRI49,OUT049,1376.4063090434443
FDT28,OUT019,353.3298150872926
FDQ22,OUT018,669.3428356565441
FDR60,OUT049,1332.211500868228
FDC50,OUT019,238.43203923409766
FDV24,OUT013,2375.7544982465292
DRF48,OUT010,478.42593716779896
FDQ47,OUT046,641.7322734146694
DRN36,OUT049,1561.8028608809236
NCY06,OUT035,2109.1602614175536
FDE52,OUT035,1511.5153074054315
NCB54,OUT045,2109.1602614175536
NCF31,OUT035,2378.836695863085
FDJ08,OUT027,5355.110167125722
NCC07,OUT017,1583.723546965158
NCD19,OUT027,907.6447868225561
FDL46,OUT049,1994.805197146763
FDM20,OUT045,3963.582928368165
NCI06,OUT010,435.20166747533915
DRM11,OUT035,4139.772334231351
NCH07,OUT018,2536.745799391691
FDS23,OUT013,2113.719716444163
FDO49,OUT018,751.5655913653251
FDS35,OUT049,1098.9248201412463
DRK39,OUT045,1392.8943317111905
DRI39,OUT049,967.6355903341403
FDV04,OUT017,2531.4431822231645
NCN14,OUT035,3034.991230906863
FDH08,OUT013,3814.268629938141
FDS20,OUT046,3059.349034530024
FDV40,OUT049,1139.7391667070208
FDZ48,OUT010,274.2676849916929
FDS24,OUT027,2381.609554792646
FDK44,OUT049,2882.2363761376514
FDS48,OUT045,2358.9341875867212
FDK26,OUT010,478.42593716779896
FDD23,OUT045,3066.2802524119165
NCH54,OUT017,2590.4408236756085
NCP14,OUT010,256.1688692823313
FDM60,OUT010,195.5027562130773
FDV24,OUT017,2372.4433001959796
FDH08,OUT018,3807.5053602079993
FDS12,OUT027,3039.777250360726
FDR39,OUT027,4832.083273087935
FDP12,OUT027,652.2195080780996
DRF60,OUT027,5764.333675226559
FDC09,OUT035,1583.723546965158
FDF50,OUT018,3073.606217309437
FDG28,OUT035,3965.587563153822
NCE19,OUT017,952.8841218879163
NCM53,OUT010,272.01705919130103
NCN18,OUT049,1704.833866177761
FDF32,OUT035,3101.8965868174414
FDF11,OUT013,3857.741817843315
DRI59,OUT049,3797.0143789189065
NCG54,OUT035,2813.8573441297463
FDM44,OUT046,1581.9979873444881
FDT57,OUT018,3810.414855081191
FDV24,OUT046,2372.4433001959796
FDI50,OUT019,563.3921545990461
FDS09,OUT035,787.632149696477
NCC31,OUT027,3830.0009988430666
FDQ07,OUT019,563.3921545990461
FDC22,OUT017,3068.248252099866
FDZ56,OUT046,2809.4351494787256
FDZ40,OUT019,213.9674323216081
FDS46,OUT027,3039.777250360726
DRD24,OUT045,2125.90703729375
FDV45,OUT017,3061.8580577608955
FDL26,OUT045,2391.6834377187047
FDA56,OUT018,2105.7136664591862
FDN27,OUT046,1975.314399043813
FDM20,OUT049,3884.012484132971
FDO16,OUT017,1394.611427242015
FDL03,OUT035,3061.8580577608955
FDE58,OUT046,1960.357897952666
FDI02,OUT027,3039.777250360726
NCC55,OUT019,193.1441042622307
FDR03,OUT018,3393.1081467749023
FDB14,OUT017,1539.7260377489251
FDR45,OUT013,3868.9713109801655
NCN07,OUT017,2113.719716444163
FDM51,OUT019,242.94484680806684
FDT52,OUT027,5764.333675226559
FDL26,OUT046,2386.689692374568
NCZ42,OUT046,3873.8747163059084
DRI47,OUT019,349.57842075281883
FDW40,OUT013,2130.6737889911615
FDN34,OUT046,2811.0901437763164
FDS01,OUT035,2907.97831564323
NCG55,OUT045,1956.9667614225646
FDC11,OUT035,1469.0240357840419
FDX35,OUT018,3734.872159670791
NCB06,OUT046,2571.145539153176
FDR09,OUT019,563.3921545990461
FDC53,OUT017,1565.6733748366005
FDY45,OUT013,3942.4040488361534
FDA22,OUT010,416.3583465223016
FDE02,OUT035,1563.3892920421997
FDW21,OUT045,1580.7741318173946
FDV34,OUT046,1130.5750339331385
FDS59,OUT049,1591.5057796855494
NCW17,OUT017,2109.1602614175536
NCK54,OUT046,1960.357897952666
FDG17,OUT019,563.3921545990461
FDG35,OUT017,2882.2363761376514
FDD08,OUT010,192.42586327293589
NCO07,OUT017,3592.0193985299284
FDJ10,OUT010,296.8435103721889
FDW36,OUT017,1583.723546965158
FDW21,OUT010,243.34764381745805
FDY19,OUT017,1972.2174158253322
DRE03,OUT013,769.090781910885
NCC55,OUT049,648.0219512954245
FDH52,OUT010,246.61056833382725
FDO09,OUT017,4075.5969372888194
FDU43,OUT045,3930.802396964215
FDX09,OUT010,417.8127329654873
FDH40,OUT019,192.8968050221041
FDW58,OUT017,1583.723546965158
FDC47,OUT017,3829.188952265261
NCR41,OUT035,1562.1488905174733
DRG49,OUT035,3963.1539795351414
FDC52,OUT027,3786.6242263985478
FDY13,OUT046,1134.7627843224732
FDY35,OUT013,715.6617976998606
FDI35,OUT017,2998.0213802590083
NCU18,OUT049,2130.6737889911615
FDY33,OUT018,2536.745799391691
FDC15,OUT027,4225.758170730963
FDU01,OUT049,3059.005072159322
NCU42,OUT046,2813.8573441297463
NCV29,OUT018,2893.4272909824767
NCY30,OUT017,3054.9268398790027
FDQ46,OUT049,1721.1475409563998
FDG58,OUT027,3830.0009988430666
FDK33,OUT017,3586.544076759422
NCD07,OUT045,1951.3191030054359
NCX29,OUT027,3699.849725493617
NCT42,OUT013,2355.992228787217
DRN59,OUT035,766.6200069923514
FDI44,OUT035,1360.2290878668657
FDA45,OUT049,2890.689750818114
FDP31,OUT045,1109.3512925142345
FDY01,OUT046,1951.3191030054359
